Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
China,2100,Phishing,Education,80.53,773169.0,Hacker Group,Unpatched Software,VPN,63.0
China,2100,Ransomware,Retail,62.19,295961.0,Hacker Group,Unpatched Software,Firewall,71.0
India,2017,Man-in-the-Middle,IT,38.65,605895.0,Hacker Group,Weak Passwords,VPN,20.0
UK,2024,Ransomware,Telecommunications,41.44,659320.0,Nation-state,Social Engineering,AI-based Detection,7.0
Germany,2018,Man-in-the-Middle,IT,74.41,810682.0,Insider,Social Engineering,VPN,68.0
Germany,2017,Man-in-the-Middle,Retail,98.24,285201.0,Unknown,Social Engineering,Antivirus,25.0
Germany,2016,DDoS,Telecommunications,33.26,431262.0,Insider,Unpatched Software,VPN,34.0
France,2018,SQL Injection,Government,59.23,909991.0,Unknown,Social Engineering,Antivirus,66.0
India,2016,Man-in-the-Middle,Banking,16.88,698249.0,Unknown,Social Engineering,VPN,47.0
UK,2023,DDoS,Healthcare,69.14,685927.0,Hacker Group,Unpatched Software,Firewall,58.0
China,2100,Phishing,Telecommunications,88.67,493675.0,Unknown,Zero-day,VPN,29.0
China,2016,SQL Injection,Healthcare,38.81,920768.0,Hacker Group,Unpatched Software,AI-based Detection,27.0
India,2100,Ransomware,Education,30.56,583204.0,Insider,Zero-day,Firewall,37.0
France,2023,DDoS,Healthcare,58.37,599797.0,Nation-state,Unpatched Software,AI-based Detection,35.0
France,2024,DDoS,IT,48.01,922258.0,Unknown,Social Engineering,Encryption,64.0
Australia,2022,Phishing,Banking,64.31,120789.0,Nation-state,Zero-day,Encryption,36.0
Russia,2017,Man-in-the-Middle,Healthcare,13.04,850158.0,Hacker Group,Unpatched Software,AI-based Detection,67.0
India,2015,DDoS,IT,93.14,805278.0,Insider,Social Engineering,Encryption,56.0
UK,2100,Malware,Telecommunications,14.01,578443.0,Insider,Social Engineering,Firewall,28.0
India,2016,DDoS,IT,36.45,261808.0,Nation-state,Social Engineering,AI-based Detection,6.0
Brazil,2015,Ransomware,Retail,49.55,920172.0,Hacker Group,Weak Passwords,Antivirus,43.0
France,2023,Ransomware,Education,17.72,261661.0,Insider,Social Engineering,VPN,11.0
India,2017,DDoS,Government,76.71,246205.0,Nation-state,Unpatched Software,Firewall,30.0
Japan,2022,Phishing,Telecommunications,20.42,186148.0,Nation-state,Weak Passwords,Antivirus,32.0
Brazil,2023,DDoS,Telecommunications,51.84,699007.0,Hacker Group,Social Engineering,VPN,30.0
China,2021,Phishing,Retail,51.06,628562.0,Insider,Zero-day,AI-based Detection,52.0
Japan,2022,Malware,Education,53.04,570494.0,Nation-state,Unpatched Software,VPN,53.0
Japan,2022,Ransomware,Banking,26.17,937653.0,Insider,Unpatched Software,Encryption,24.0
France,2020,Malware,IT,87.32,599757.0,Unknown,Social Engineering,Antivirus,9.0
Australia,2015,DDoS,Government,82.7,904805.0,Hacker Group,Zero-day,Encryption,61.0
UK,2022,SQL Injection,Education,66.24,678876.0,Hacker Group,Social Engineering,AI-based Detection,11.0
France,2020,Malware,Telecommunications,18.38,246900.0,Hacker Group,Zero-day,AI-based Detection,34.0
India,2015,SQL Injection,IT,42.99,85255.0,Unknown,Unpatched Software,Encryption,61.0
Japan,2022,Phishing,Banking,98.47,972469.0,Nation-state,Zero-day,Antivirus,21.0
